iter	Passed	Remaining
975	46760	1149
976	46809	1101
977	46857	1054
978	46904	1006
979	46952	958
980	46999	910
981	47045	862
982	47094	814
983	47140	766
984	47187	718
985	47237	670
986	47284	622
987	47332	574
988	47381	526
989	47428	479
990	47475	431
991	47522	383
992	47569	335
993	47619	287
994	47666	239
995	47714	191
996	47763	143
997	47812	95
998	47860	47
999	47907	0
